Year	State	All Companies	AFC	Agro Energia	Alcídia	Alpargatas	Alumini	Amil	Andrade Gutierrez	Arosuco	Auguri	Barbosa Mello	Bracol	Braskem	Brenco	BTG	Camargo Corrêa	Caoa	Carioca Christiani Nielsen	Carvalho Hosken	Cavo	CBD	CBPO	Cervejaria Petrópolis	CMT	CNEC	Coesa	Conduto	Consilux	Constran	Construbase	Construcap	Contax	Copersucar	Copesul	Cowan	CR Almeida	Credencial	CSN	Cutrale	DAG	Delta	E.M.S.	EBSA	Egesa	EIT	Eldorado	Encalso	Energia Verde	Engevix	Equador	Equipav	Estaleiro Atlântico Sul	Estre	Evidence	Ferreira Guedes	Fidens	Flora	Fluxo	FW	Galvão Engenharia	GDK	Genpro	Guilherme Gonçalves	Hochtief	Hope	Hypermarcas	Iesa	Induscar	Intercement	Interoil	Interpar	Ipiranga	Isolux	Jaraguá Equipamentos	JBS	JMalucelli	Labogen	Legend	Leyroz de Caxias	Libra	Logimed	Marcio Vaz Ferreira Ramos	Marquise	Mendes Junior	Mídia Show	Multiplan	Multitek	OAS	Odebrecht	Ourívio	Parauapebas	Paviservice	Pavotec	Pedra Sul	Personal Service	Portanova	Posto da Torre	PowerToTen	Praiamar	Quantiq	Queiroz Galvão	Quips	Reginaves	Riomarine	Rock Star	Sanches Tripoloni	Santista	São Fernando	SAPaulista	Schahin	Serveng Civilsan	Sideraço	Somague	SP Terraplanagem	STD Indústria e Comércio	Sul Brasil	Techint	Tempo Serviços	Terminais Fluviais Do Brasil	TGS	Tiisa	Tomé Equipamentos	Toyo Setal	Tractebel	Trier	Triunfo	Unipar	Usina Conquista do Pontal	Usina Eldorado	UTC	Vallourec	Vega Engenharia	Via Engenharia	Vigor	Vital Engenharia	WTorre	Zulu Filmes
2012	PTC	4350428.537	0	0	0	0	0	0	50000	0	0	37445.481	124818.27	5665	0	14025	726746.77	0	284700	0	0	10000	0	550000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297771	10000	164000	0	0	0	0	18030.33568	0	0	0	224507.1758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973332.485	0	0	0	99854.616	0	0	0	9600	0	0	0	0	2520	127850	0	0	0	0	0	0	0	0	0	24963.654	0	187445.481	0	0	0	0	0	0	0	16098.59449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42225.02	0	215016	24963.654	0	8850	100000	0	0	0
2012	PTN	4311820.328	0	0	0	66783.36	80492.57	477	160000	0	0	27798	0	37445.481	0	2050	629091.35	0	54963.654	0	0	0	0	100000	0	12481.827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32197.028	0	0	0	0	219.6	150000	0	0	0	0	0	0	0	0	0	156022.8375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1469504.62	0	0	0	0	0	0	0	0	0	0	0	0	325262	461162.5	0	0	49945	0	0	0	0	0	0	0	0	108450	0	0	0	0	300000	0	0	0	0	14000	0	0	0	0	0	0	0	0	0	0	0	0	16500	0	0	0	0	0	36681	0	0	20292.5	0	0	0	0
2012	PSL	3657791.251	0	0	0	0	0	0	260530.77	60000	0	0	0	57800	0	100000	62409.135	0	133000	27700	0	0	0	275384.681	0	0	0	0	0	0	0	20000	0	0	0	0	8107.5	0	0	0	0	0	0	0	247866.5877	0	0	725	0	174219.6	0	50000	0	0	0	7249.2	0	0	0	0	270558.0378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419928.58	0	0	0	0	0	20000	0	34606.66	0	0	0	0	151519	259000	0	0	0	0	0	0	0	0	0	0	0	190765.28	0	0	0	0	70000	0	0	0	0	62409.135	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	76000	0	0	0	184082	0	312045.675	21884.41	0	0	0	0
2012	PRP	3630181.103	0	0	0	0	80492.57	30000	220133.5	0	0	0	0	16800	0	235855	0	0	203121	12270	0	0	0	105000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64394.056	0	0	0	0	0	32197.028	0	0	0	0	132500	0	238096.66	0	0	0	0	0	0	0	0	62409.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717171.5	0	0	0	49927.308	0	0	0	0	0	0	0	0	125828.7	131908.382	0	0	0	0	0	0	0	447538.6892	0	12481.827	0	218744.5481	0	0	0	0	56500	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	363220.5	25000	0	18590.7	0	0	0	0
2012	PRTB	3240041.956	0	0	0	0	0	0	130000	0	0	0	0	0	0	0	0	0	50000	50000	0	0	0	19355	0	0	0	0	0	99854.616	0	0	0	0	0	0	0	0	24147.771	0	0	0	0	0	94606.163	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24963.654	554620.44	0	0	0	0	24963.654	0	0	0	0	0	0	0	42759.764	100000	0	0	0	0	0	0	0	0	0	0	0	423600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	1550963.654	0	0	5207.24	0	0	0	0
2012	PEN	2985897.23	0	0	0	105079.41	0	0	342137.5	7900	0	0	0	1725	0	50000	0	25000	75000	0	0	0	0	29000	50000	0	0	0	0	0	0	0	0	24000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	869992.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017282.67	0	0	0	0	0	0	0	0	0	0	0	0	91180.24	21116	0	0	0	0	0	0	0	0	0	0	0	33190.15	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	50000	0	0	138293.44	0	0	0	0
2012	PSDC	2594812.821	0	0	0	13470	0	0	0	0	0	0	0	600	0	32000	37445.481	0	240375	0	0	49927.308	8039.62	677400	0	0	0	0	0	0	0	0	0	0	0	0	870	0	0	0	0	0	0	0	0	0	0	725	0	0	0	0	0	0	0	0	0	0	0	0	64182.7599	0	0	0	0	228716.9979	0	0	0	0	0	0	0	0	0	127083.78	0	0	0	199709.232	0	0	0	0	0	0	0	0	203167.646	363457.994	0	0	0	0	0	0	0	0	0	49927.308	0	194214.694	0	0	0	0	41000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62500	0	0	0	0	0	0	0
2012	PHS	2528663.455	0	0	0	0	0	0	102110	0	0	80000	0	0	0	100000	0	0	38000	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55000	0	0	0	0	0	0	0	33204.5675	0	0	0	0	0	0	0	0	0	0	5105	436863.945	0	0	0	533082.3	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	495930.67	0	0	0	0	0	0	0	20000	37445.481	0	0	0	2600	185022.5	0	0	0	0	0	0	0	1678.805732	0	0	0	131854.616	0	0	0	0	0	0	0	0	0	5300	0	0	0	0	0	0	0	0	0	68000	0	0	52250	0	0	0	0	0	0	0	0	100215.57	0	0	0	0
2012	PPL	1447439.75	0	0	0	0	0	0	508458.12	5000	0	0	0	29900.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3532.5	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393976	0	0	0	0	0	0	0	0	0	0	0	0	12322	0	0	0	0	0	0	0	0	0	0	0	0	278055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	173100	0	0	8095.73	0	0	0	0
2012	PST	441072.3106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409002.4876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32069.823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	PAN	209280.682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177083.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32197.028	0	0	0	0
2012	PSOL	124818.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99854.616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24963.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	PRONA	56344.799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24147.771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32197.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	PSD (former)	25655.8584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25655.8584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
